Table	Head	Target	Result	Convers
0	3	8	8.244601	1
0	3	11	11.13	1
0	3	15	15.4014	1
0	3	20	20.3532	1
0	3	25	25.5402	1
0	3	30	30.7832	1
0	3	35	35.8988	1
0	4	2.8	3.600801	1
0	4	4	4.5962	1
0	4	5	5.488	1
0	4	8	8.398601	1
0	4	11	11.4156	1
0	4	15	15.505	1
0	4	20	20.6584	1
0	4	25	25.6354	1
0	4	30	30.926	1
0	4	35	35.6426	1
0	5	2.8	3.7744	1
0	5	4	4.428201	1
0	5	5	5.549601	1
0	5	8	8.339801	1
0	5	11	11.3246	1
0	5	15	14.3752	1
0	5	20	20.1726	1
0	5	25	25.1426	1
0	5	30	30.1854	1
0	5	35	35.4718	1
0	6	2.8	3.563001	1
0	6	4	4.417001	1
0	6	5	5.4166	1
0	6	8	8.1746	1
0	6	11	11.151	1
0	6	15	15.2628	1
0	6	20	20.3686	1
0	6	25	25.5178	1
0	6	30	30.3058	1
0	6	35	35.7042	1
0	7	2.8	3.08	1
0	7	4	4.452001	1
0	7	5	5.296201	1
0	7	8	8.069602	1
0	7	11	11.2966	1
0	7	15	15.4364	1
0	7	20	20.5646	1
0	7	25	25.6298	1
0	7	30	30.7328	1
0	7	35	35.8652	1
1	0	2.8	3.3152	1
1	0	4	4.214	1
1	0	5	4.940599	1
1	0	8	7.9632	1
1	0	11	10.9522	1
1	0	15	14.9982	1
1	0	20	20.118	1
1	0	25	25.2182	1
1	0	30	30.2204	1
1	0	35	35.7658	1
1	1	2.8	3.3376	1
1	1	4	4.508	1
1	1	5	5.4418	1
1	1	8	8.139601	1
1	1	11	11.193	1
1	1	15	15.1382	1
1	1	20	20.2524	1
1	1	25	25.2798	1
1	1	30	30.4556	1
1	1	35	35.5866	1
1	2	2.8	3.2004	1
1	2	4	3.9774	1
1	2	5	5.198201	1
1	2	8	8.283801	1
1	2	11	11.1804	1
1	2	15	15.0892	1
1	2	20	20.1754	1
1	2	25	25.2084	1
1	2	30	30.1266	1
1	2	35	35.7462	1
1	3	2.8	3.371201	1
1	3	4	4.6592	1
1	3	5	5.4726	1
1	3	8	8.289401	1
1	3	11	11.4296	1
1	3	15	15.1816	1
1	3	20	20.0172	1
1	3	25	25.6536	1
1	3	30	30.9358	1
1	3	35	36.0178	1
1	4	2.8	3.0814	1
1	4	4	4.1818	1
1	4	5	5.121201	1
1	4	8	8.033199	1
1	4	11	11.0138	1
1	4	15	15.0066	1
1	4	20	20.4596	1
1	4	25	25.2686	1
1	4	30	30.471	1
1	4	35	35.56701	1
1	5	2.8	3.2074	1
1	5	4	4.3904	1
1	5	5	5.198201	1
1	5	8	8.231999	1
1	5	11	11.1986	1
1	5	15	15.2026	1
1	5	20	20.4554	1
1	5	25	25.4212	1
1	5	30	30.7216	1
1	5	35	35.728	1
1	6	2.8	3.3544	1
1	6	4	4.171999	1
1	6	5	5.104402	1
1	6	8	7.996799	1
1	6	11	11.1216	1
1	6	15	15.0696	1
1	6	20	19.9766	1
1	6	25	25.1188	1
1	6	30	30.4094	1
1	6	35	35.4284	1
1	7	2.8	3.3418	1
1	7	4	4.342801	1
1	7	5	5.166001	1
1	7	8	8.135401	1
1	7	11	11.0516	1
1	7	15	14.938	1
1	7	20	20.1628	1
1	7	25	25.088	1
1	7	30	30.1546	1
1	7	35	35.4326	1
0	0	2.8	4.212599	1
0	0	4	4.725	1
0	0	5	5.4306	1
0	0	8	8.342602	1
0	0	11	11.2364	1
0	0	15	15.4448	1
0	0	20	20.552	1
0	0	25	25.263	1
0	0	30	30.5186	1
0	0	35	35.9814	1
0	1	2.8	3.379601	1
0	1	4	4.312	1
0	1	5	5.181401	1
0	1	8	7.854	1
0	1	11	11.0068	1
0	1	15	14.8288	1
0	1	20	20.0578	1
0	1	25	25.1496	1
0	1	30	29.5848	1
0	1	35	35.4088	1
0	2	2.8	2.828	1
0	2	4	3.8402	1
0	2	5	4.678801	1
0	2	8	8.152201	1
0	2	11	11.0278	1
0	2	15	15.05	1
0	2	20	19.9836	1
0	2	25	25.1146	1
0	2	30	30.27641	1
0	2	35	35.4578	1
0	3	2.8	3.6876	1
0	3	4	4.405801	1
0	3	5	5.255601	1
0	3	8	8.195601	1
0	3	11	11.2756	1
0	3	15	15.2026	1
0	3	20	20.4834	1
0	3	25	25.5906	1
0	3	30	30.7902	1
0	3	35	35.889	1
0	4	2.8	3.588201	1
0	4	4	4.704	1
0	4	5	5.4026	1
0	4	8	8.342601	1
0	4	11	11.487	1
0	4	15	15.5568	1
0	4	20	20.6262	1
0	4	25	25.8636	1
0	4	30	30.863	1
0	4	35	35.924	1
0	5	2.8	3.8528	1
0	5	4	4.3148	1
0	5	5	5.4222	1
0	5	8	8.282401	1
0	5	11	11.4366	1
0	5	15	15.1956	1
0	5	20	20.1922	1
0	5	25	25.1678	1
0	5	30	30.2554	1
0	5	35	35.53901	1
0	6	2.8	3.514	1
0	6	4	4.569601	1
0	6	5	5.376	1
0	6	8	8.2726	1
0	6	11	11.1594	1
0	6	15	15.3454	1
0	6	20	20.2062	1
0	6	25	25.2882	1
0	6	30	30.3226	1
0	6	35	35.6146	1
0	7	2.8	3.2998	1
0	7	4	4.410001	1
0	7	5	5.300401	1
0	7	8	8.160601	1
0	7	11	11.2644	1
0	7	15	15.2754	1
0	7	20	20.5646	1
0	7	25	25.4562	1
0	7	30	30.5102	1
0	7	35	35.7392	1
1	0	2.8	3.371201	1
1	0	4	4.1608	1
1	0	5	5.033	1
1	0	8	8.0402	1
1	0	11	10.9368	1
1	0	15	15.113	1
1	0	20	20.2328	1
1	0	25	25.2224	1
1	0	30	30.2218	1
1	0	35	35.847	1
1	1	2.8	3.456601	1
1	1	4	4.4898	1
1	1	5	5.342401	1
1	1	8	8.155	1
1	1	11	11.2462	1
1	1	15	15.1914	1
1	1	20	20.2832	1
1	1	25	25.3036	1
1	1	30	30.422	1
1	1	35	35.7126	1
1	2	2.8	3.180799	1
1	2	4	4.1482	1
1	2	5	5.300401	1
1	2	8	8.1774	1
1	2	11	10.9998	1
1	2	15	15.05	1
1	2	20	19.9108	1
1	2	25	25.0978	1
1	2	30	30.2106	1
1	2	35	35.6062	1
1	3	2.8	3.3908	1
1	3	4	4.6592	1
1	3	5	5.212201	1
1	3	8	8.278201	1
1	3	11	11.4716	1
1	3	15	15.2992	1
1	3	20	20.4232	1
1	3	25	25.48	1
1	3	30	30.8714	1
1	3	35	36.0374	1
1	4	2.8	3.0996	1
1	4	4	3.9802	1
1	4	5	5.119802	1
1	4	8	8.0696	1
1	4	11	11.1188	1
1	4	15	15.1858	1
1	4	20	20.2734	1
1	4	25	25.2798	1
1	4	30	30.3198	1
1	4	35	35.5992	1
1	5	2.8	3.2914	1
1	5	4	4.348401	1
1	5	5	5.262601	1
1	5	8	8.2376	1
1	5	11	11.13	1
1	5	15	15.218	1
1	5	20	20.2832	1
1	5	25	25.389	1
1	5	30	30.5102	1
1	5	35	35.7378	1
1	6	2.8	3.2998	1
1	6	4	4.235	1
1	6	5	5.140801	1
1	6	8	8.058401	1
